Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory,Elapsed Time (s)
55,1787064245,45,,Aggregated,45.0,0.0,290.0,390.0,480.0,540.0,880.0,1300.0,1700.0,2500.0,3600.0,5000.0,5000.0,1565,0,290,405.5377773169867,13.349990000278922,5022.231752998778,359.75399361022363,2026-08-18 14:44:15,1650.0,29.0,212.0,24.0,61.0
56,1787064246,45,,Aggregated,44.7,0.0,290.0,390.0,480.0,540.0,880.0,1300.0,1700.0,2500.0,3600.0,5000.0,5000.0,1605,0,290,404.578145006906,13.349990000278922,5022.231752998778,356.9919003115265,2026-08-18 14:44:16,1650.0,29.0,212.0,24.0,62.0
57,1787064247,45,,Aggregated,44.4,0.0,300.0,400.0,480.0,540.0,860.0,1300.0,1700.0,2500.0,3600.0,5000.0,5000.0,1643,0,300,405.2683935155721,13.349990000278922,5022.231752998778,354.35909920876446,2026-08-18 14:44:18,1650.0,29.0,212.0,24.0,64.0
58,1787064248,45,,Aggregated,45.2,0.0,300.0,410.0,490.0,560.0,880.0,1300.0,1700.0,2500.0,3600.0,5000.0,5000.0,1680,0,300,411.3679173637379,13.349990000278922,5022.231752998778,353.6202380952381,2026-08-18 14:44:19,1650.0,29.0,212.0,24.0,65.0
59,1787064249,45,,Aggregated,44.1,0.0,310.0,420.0,500.0,580.0,880.0,1300.0,1700.0,2400.0,3600.0,5000.0,5000.0,1713,0,310,418.0968642201303,13.349990000278922,5022.231752998778,351.4932866316404,2026-08-18 14:44:20,1650.0,29.0,212.0,24.0,66.0
60,1787064250,45,,Aggregated,44.3,0.0,320.0,430.0,520.0,610.0,900.0,1300.0,1700.0,2400.0,3600.0,5000.0,5000.0,1759,0,320,428.7627765441042,13.349990000278922,5022.231752998778,350.49232518476407,2026-08-18 14:44:21,1650.0,29.0,212.0,24.0,67.0
61,1787064251,45,,Aggregated,43.4,0.0,320.0,440.0,540.0,630.0,910.0,1300.0,1700.0,2200.0,3600.0,5000.0,5000.0,1801,0,320,437.23562464468495,13.349990000278922,5022.231752998778,348.50305385896723,2026-08-18 14:44:22,1650.0,29.0,212.0,24.0,68.0
62,1787064252,45,,Aggregated,42.7,0.0,340.0,460.0,570.0,660.0,920.0,1400.0,1700.0,2200.0,3600.0,5000.0,5000.0,1848,0,340,446.2529324156284,13.349990000278922,5022.231752998778,346.125,2026-08-18 14:44:23,1650.0,29.0,212.0,24.0,69.0
63,1787064253,45,,Aggregated,42.7,0.0,340.0,470.0,590.0,680.0,930.0,1300.0,1700.0,2200.0,3600.0,5000.0,5000.0,1882,0,340,452.2624229862281,13.349990000278922,5022.231752998778,344.70138150903296,2026-08-18 14:44:24,1911.0,31.0,202.0,24.0,70.0
64,1787064254,45,,Aggregated,41.5,0.0,350.0,490.0,620.0,700.0,970.0,1400.0,1700.0,2100.0,3600.0,5000.0,5000.0,1931,0,350,463.5146020274845,13.349990000278922,5022.231752998778,343.3283272915588,2026-08-18 14:44:25,1911.0,31.0,202.0,24.0,71.0
65,1787064255,45,,Aggregated,42.2,0.0,350.0,510.0,630.0,700.0,970.0,1400.0,1700.0,2100.0,3600.0,5000.0,5000.0,1977,0,350,469.9155192595237,13.349990000278922,5022.231752998778,340.8735457764289,2026-08-18 14:44:26,1911.0,31.0,202.0,24.0,72.0
66,1787064256,45,,Aggregated,41.3,0.0,360.0,520.0,640.0,710.0,980.0,1400.0,1700.0,2000.0,3600.0,5000.0,5000.0,2017,0,360,475.8082372722245,13.349990000278922,5022.231752998778,339.4873574615766,2026-08-18 14:44:28,1911.0,31.0,202.0,24.0,74.0
67,1787064257,45,,Aggregated,41.9,0.0,370.0,540.0,650.0,710.0,980.0,1400.0,1700.0,2000.0,3600.0,5000.0,5000.0,2065,0,370,481.3971700300632,13.349990000278922,5022.231752998778,337.56174334140434,2026-08-18 14:44:29,1911.0,31.0,202.0,24.0,75.0
68,1787064258,45,,Aggregated,41.4,0.0,380.0,550.0,650.0,710.0,980.0,1400.0,1700.0,2000.0,3600.0,5000.0,5000.0,2111,0,380,485.13369203083,13.349990000278922,5022.231752998778,335.3993368072004,2026-08-18 14:44:30,1911.0,31.0,202.0,24.0,76.0
69,1787064259,45,,Aggregated,41.7,0.0,390.0,560.0,660.0,710.0,980.0,1400.0,1700.0,2000.0,3600.0,5000.0,5000.0,2148,0,390,489.3593157360718,13.349990000278922,5022.231752998778,334.16806331471133,2026-08-18 14:44:31,1911.0,31.0,202.0,24.0,77.0
70,1787064260,45,,Aggregated,42.5,0.0,400.0,570.0,670.0,720.0,1000.0,1400.0,1700.0,2000.0,3600.0,5000.0,5000.0,2194,0,400,495.3116570529065,13.349990000278922,5022.231752998778,332.7857793983592,2026-08-18 14:44:32,1911.0,31.0,202.0,24.0,78.0
71,1787064261,45,,Aggregated,42.8,0.0,410.0,580.0,670.0,720.0,1000.0,1400.0,1600.0,1900.0,3600.0,5000.0,5000.0,2231,0,410,500.6287524285382,13.349990000278922,5022.231752998778,332.10085163603765,2026-08-18 14:44:33,1911.0,31.0,202.0,24.0,79.0
72,1787064262,45,,Aggregated,43.0,0.0,420.0,590.0,680.0,730.0,1000.0,1400.0,1600.0,1900.0,3600.0,5000.0,5000.0,2262,0,420,505.2390681114352,13.349990000278922,5022.231752998778,330.8916887709991,2026-08-18 14:44:34,1911.0,31.0,202.0,24.0,80.0
73,1787064263,45,,Aggregated,43.3,0.0,430.0,600.0,700.0,750.0,1000.0,1400.0,1600.0,1900.0,3600.0,5000.0,5000.0,2308,0,430,515.3275606690081,13.349990000278922,5022.231752998778,330.2283362218371,2026-08-18 14:44:35,1911.0,31.0,202.0,24.0,81.0
74,1787064264,45,,Aggregated,43.4,0.0,430.0,620.0,710.0,770.0,1100.0,1400.0,1600.0,1900.0,3600.0,5000.0,5000.0,2355,0,430,523.6281052208411,13.349990000278922,5022.231752998778,328.73205944798303,2026-08-18 14:44:36,1911.0,31.0,202.0,24.0,82.0
75,1787064265,45,,Aggregated,41.7,0.0,440.0,630.0,720.0,780.0,1100.0,1400.0,1700.0,1900.0,3600.0,5000.0,5000.0,2390,0,440,530.8356462025401,13.349990000278922,5022.231752998778,327.5866108786611,2026-08-18 14:44:37,1911.0,31.0,202.0,24.0,83.0
76,1787064266,45,,Aggregated,42.7,0.0,450.0,640.0,730.0,800.0,1100.0,1400.0,1700.0,1900.0,3600.0,5000.0,5000.0,2426,0,450,539.5102314534478,13.349990000278922,5022.231752998778,326.8891178895301,2026-08-18 14:44:39,1951.0,30.0,184.0,25.0,85.0
77,1787064267,45,,Aggregated,42.1,0.0,470.0,650.0,750.0,830.0,1100.0,1400.0,1700.0,1900.0,3600.0,5000.0,5000.0,2470,0,470,549.5757747316037,13.349990000278922,5022.231752998778,326.5080971659919,2026-08-18 14:44:40,1951.0,30.0,184.0,25.0,86.0
78,1787064268,45,,Aggregated,41.0,0.0,470.0,660.0,760.0,850.0,1100.0,1400.0,1700.0,1900.0,3600.0,5000.0,5000.0,2499,0,470,556.1597098991869,13.349990000278922,5022.231752998778,325.59743897559025,2026-08-18 14:44:41,1951.0,30.0,184.0,25.0,87.0
79,1787064269,45,,Aggregated,40.6,0.0,490.0,670.0,780.0,880.0,1100.0,1400.0,1700.0,2000.0,3600.0,5000.0,5000.0,2545,0,490,568.9483945257635,13.349990000278922,5022.231752998778,325.45108055009825,2026-08-18 14:44:42,1951.0,30.0,184.0,25.0,88.0
80,1787064270,45,,Aggregated,40.0,0.0,490.0,680.0,800.0,890.0,1200.0,1400.0,1700.0,2000.0,3600.0,5000.0,5000.0,2579,0,490,575.4987680822261,13.349990000278922,5022.231752998778,324.9468786351299,2026-08-18 14:44:43,1951.0,30.0,184.0,25.0,89.0
81,1787064271,45,,Aggregated,38.8,0.0,500.0,690.0,810.0,910.0,1200.0,1400.0,1700.0,2000.0,3600.0,5000.0,5000.0,2613,0,500,583.3753229273115,13.349990000278922,5022.231752998778,324.51435132032145,2026-08-18 14:44:44,1951.0,30.0,184.0,25.0,90.0
